QUERY_ID	STEP_ID	OPERATOR_ID	PARENT_OPERATORS	OPERATOR_TYPE	OPERATOR_STATISTICS	EXECUTION_TIME_BREAKDOWN	OPERATOR_ATTRIBUTES
01c2bfd1-3202-6546-0013-df16000dc59a	1	0		Result	"{
  ""input_rows"": 1
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""expressions"": [
    ""number of rows deleted"",
    ""number of rows inserted""
  ]
}"
01c2bfd1-3202-6546-0013-df16000dc59a	1	1		Insert	"{
  ""dml"": {
    ""number_of_rows_deleted"": 1,
    ""number_of_rows_inserted"": 1
  },
  ""input_rows"": 2,
  ""io"": {
    ""bytes_scanned"": 2048,
    ""bytes_written"": 2048,
    ""percentage_scanned_from_cache"": 1
  },
  ""output_rows"": 1
}"	"{
  ""overall_percentage"": 3.333333333333333e-01,
  ""processing"": 3.333333333333333e-01
}"	{}
01c2bfd1-3202-6546-0013-df16000dc59a	1	2	"[
  1
]"	Join	"{
  ""input_rows"": 2,
  ""output_rows"": 1
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""equality_join_condition"": ""(METADATA$ROW_ID = MV1_AGG.METADATA$MT_ROW_ID)"",
  ""join_type"": ""LEFT OUTER""
}"
01c2bfd1-3202-6546-0013-df16000dc59a	1	3		Projection	"{
  ""input_rows"": 1,
  ""output_rows"": 1
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	{}
01c2bfd1-3202-6546-0013-df16000dc59a	1	4	"[
  3
]"	Filter	"{
  ""input_rows"": 2,
  ""output_rows"": 1
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""filter_condition"": ""(IFF((IFF(1 >= (ABS(SUM(METADATA$ACTION))), SUM(METADATA$ACTION), TO_NUMBER(RAISE_USER_ERROR('XX000', TO_NUMBER('091973', 18, 0), 'Internal Stream/CHANGES query error for ROW_ID: ''%1%''.', REGEXP_REPLACE(METADATA$ROW_ID, '~.{0,20}:([A-Za-z0-9+\\\\/=]{20,})', '~[OBFVAL]:\\\\1', 1, 0, 'c')), 18, 5))) > (0), 'INSERT', 'DELETE')) = 'DELETE'""
}"
01c2bfd1-3202-6546-0013-df16000dc59a	1	5		Projection	"{
  ""input_rows"": 2,
  ""output_rows"": 2
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	{}
01c2bfd1-3202-6546-0013-df16000dc59a	1	6	"[
  5
]"	Filter	"{
  ""input_rows"": 2,
  ""output_rows"": 2
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""filter_condition"": ""(SUM(METADATA$ACTION)) <> 0""
}"
01c2bfd1-3202-6546-0013-df16000dc59a	1	7	"[
  6
]"	Aggregate	"{
  ""input_rows"": 2,
  ""output_rows"": 2
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""functions"": [
    ""SUM(METADATA$ACTION)""
  ],
  ""grouping_keys"": [
    ""METADATA$ROW_ID"",
    ""UNION_ALL(T_TO.STR1, T_FROM.STR1)"",
    ""SUM(UNION_ALL(T_TO.INT1, T_FROM.INT1))""
  ]
}"
01c2bfd1-3202-6546-0013-df16000dc59a	1	8	"[
  7
]"	Aggregate	"{
  ""input_rows"": 2,
  ""output_rows"": 2
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""functions"": [
    ""SUM(UNION_ALL(T_TO.INT1, T_FROM.INT1))""
  ],
  ""grouping_keys"": [
    ""UNION_ALL(T_TO.STR1, T_FROM.STR1)"",
    ""UNION_ALL('INSERT', 'DELETE')""
  ]
}"
01c2bfd1-3202-6546-0013-df16000dc59a	1	9	"[
  8
]"	Join	"{
  ""input_rows"": 4,
  ""output_rows"": 2
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""equality_join_condition"": ""(UNION_ALL(T_TO.STR1, T_FROM.STR1) = UNION_ALL(T_INSERT.STR1, T_DELETE.STR1))"",
  ""join_type"": ""SEMI""
}"
